year,record_type,state,ori,agency_name,agency_type,population_group,country_division,population,agency_status,covered_by_ori,fbi_field_office,judicial_district
2023,BH,04,CA0070200,000000000000        20230,State,Unknown,BR,ENTWOOD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0070300,000000000000        20210,County,Unknown,CL,AYTON,Unknown,None,Unknown,Unknown
2023,BH,04,CA0070400,000000000000        20210,County,Unknown,CO,NCORD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0070500,000000000000        20210,Unknown,Unknown,EL,CERRITO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0070600,000000000000        20220,Federal,Unknown,HE,RCULES,Unknown,None,Unknown,Unknown
2023,BH,04,CA0070700,000000000000        20220,Federal,Unknown,PI,NOLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0070800,000000000000        20220,Other,Unknown,PI,TTSBURG,Unknown,None,Unknown,Unknown
2023,BH,04,CA0070900,000000000000        20220,University/College,Unknown,PL,EASANT HI,L,L,Unknown,Unknown
2023,BH,04,CA0071000,000000000000        20210,County,Unknown,RI,CHMOND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0071100,000000000000        20220,Federal,Unknown,SA,N PABLO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0071200,000000000000        20220,Unknown,Unknown,WA,LNUT CREE,K,None,Unknown,Unknown
2023,BH,04,CA0071300,000000000000        20210,Unknown,Unknown,KE,NSINGTON,Unknown,None,Unknown,Unknown
2023,BH,04,CA0071400,000000000000        20220,Other,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA0071500,000000000000        20220,Other,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA0071600,000000000000        20210,County,Unknown,MO,RAGA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0071700,000000000000,Unknown,Unknown,CA,STRO VALL,E,Y,Unknown,Unknown
2023,BH,04,CA0071800,000000000000        20241,State,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA007190X,000000000000,Unknown,Unknown,RI,CHMOND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0072000,000000000000,Unknown,Unknown,CA,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0072100,000000000000,Unknown,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA007230X,000000000000        20220,Other,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA007240X,000000000000,Unknown,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA0072500,000000000000,Unknown,Unknown,CO,NCORD,Unknown,None,Unknown,Unknown
2023,BH,04,CA007260X,000000000000        20220,Other,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA0073300,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA007340X,000000000000        20220,Other,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA0074000,000000000000        20220,Unknown,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA007980X,000000000000,Unknown,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA0079900,000000000000        20211,County,Unknown,MA,RTINEZ,Unknown,None,Unknown,Unknown
2023,BH,04,CA0079920,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0080000,000000000000        20241,City,Unknown,CR,ESCENT CI,T,Y,Unknown,Unknown
2023,BH,04,CA0080100,000000000000        20220,Federal,Unknown,CR,ESCENT CI,T,Y,Unknown,Unknown
2023,BH,04,CA008980X,000000000000        20211,County,Unknown,CR,ESCENT CI,T,Y,Unknown,Unknown
2023,BH,04,CA0089920,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0090000,000000000000        20210,State,Unknown,PL,ACERVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0090100,000000000000        20210,State,Unknown,PL,ACERVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0090200,000000000000        20220,Unknown,Unknown,SO,UTH LAKE,T,AHOE,Unknown,Unknown
2023,BH,04,CA0090300,000000000000        20230,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA009030X,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0092300,000000000000,Unknown,Unknown,CO,LMA,Unknown,None,Unknown,Unknown
2023,BH,04,CA009980X,000000000000,Unknown,Unknown,PL,ACERVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0099900,000000000000        20211,County,Unknown,PL,ACERVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0099945,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0099946,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100000,000000000000,Unknown,Unknown,FR,ESNO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100100,000000000000        20220,County,Unknown,CL,OVIS,Unknown,None,Unknown,Unknown
2023,BH,04,CA010015M,000000000000        20220,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100200,000000000000,Unknown,Unknown,CO,ALINGA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100300,000000000000,Unknown,Unknown,FI,REBAUGH,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100400,000000000000,Unknown,Unknown,FO,WLER,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100500,000000000000        20210,County,Unknown,FR,ESNO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100600,000000000000,Unknown,Unknown,HU,RON,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100700,000000000000,Unknown,Unknown,KE,RMAN,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100800,000000000000,Unknown,Unknown,KI,NGSBURG,Unknown,None,Unknown,Unknown
2023,BH,04,CA0100900,000000000000,Unknown,Unknown,ME,NDOTA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0101000,000000000000,Unknown,Unknown,FR,ESNO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0101100,000000000000,Unknown,Unknown,PA,RLIER,Unknown,None,Unknown,Unknown
2023,BH,04,CA0101200,000000000000,Unknown,Unknown,RE,EDLEY,Unknown,None,Unknown,Unknown
